iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
TZA,Global,172989.07954877394,667948.3441162109,186208.93926413255,164855.91798753248,218353.51230441782,177392.57282092038,47.24997880854747,NA,116.45780417424845,0.2451520779797619,947170.1364165829,-1396764.968228376,497575.3046047897,497575.3046047897,Sellers
GRD,Global,13317.45645509549,504626.53259277344,15020.494515830998,17927.62480460828,1416413.9835749867,20272.59848351983,236.2802709289753,NA,116.45780417424845,0.2451520779797619,536890.0828578788,374897.3681243345,1448677.533840092,374897.3681243345,Buyers
NCL,Global,995602.0265572121,6824628.611938477,1102032.0579209854,746701.519917909,918440.7024521007,825063.810821926,5.958540534320444,NA,116.45780417424845,0.2451520779797619,28986406.461071182,-34892594.37055756,23080218.551584806,23080218.551584806,Sellers
UMI,Global,1485771.90508007,8037005.940185547,1665791.5069385385,1116120.7577332265,2854142.146298061,1250957.7794393613,3.9876101573280924,NA,116.45780417424845,0.2451520779797619,43048760.93050496,-48231624.72439245,37865897.136617474,37865897.136617474,Sellers
SLV,Global,58446.92449202049,215784.45458984375,69357.18919915655,56194.26073971659,148338.70954955765,66802.23157064448,29.940440499078683,NA,116.45780417424845,0.2451520779797619,262340.2741362348,-329786.0191765209,194894.52909594867,194894.52909594867,Sellers
MMR,Global,159932.63762631884,1451529.2498779297,201319.40100475974,277147.78054097685,265341257.52180848,364724.6633853852,4140.266674142046,NA,116.45780417424845,0.2451520779797619,13650618.159811787,250239110.11211875,277540346.4317423,250239110.11211875,Buyers
BGD,Global,28308.136951125183,175373.71350097656,34882.857681738824,60356.987901921355,194468669.39709288,78008.9441049097,8561.436596229847,NA,116.45780417424845,0.2451520779797619,3732338.8080374966,190560956.8755544,198025634.4916294,190560956.8755544,Buyers
TGO,Global,11056.788701996207,310839.36376953125,12272.431304208225,8292.591526497155,170185.27284552067,9194.035239132098,36.61421767812378,NA,116.45780417424845,0.2451520779797619,321912.33336327923,-462566.42428728985,181258.24243926865,181258.24243926865,Sellers
SPM,Global,3579.204518195515,13666.009521484375,4434.322725867194,12362.879737401947,5876397.951882306,14612.488385799352,1119.692777906856,NA,116.45780417424845,0.2451520779797619,1022927.5286085416,4839804.413752279,6885659.470969363,4839804.413752279,Buyers
NGA,Global,99416.40045364187,1196921.1096191406,110542.83474658168,117310.04921466151,46492821.34770462,132745.72913362368,5155.610417982827,NA,116.45780417424845,0.2451520779797619,2083855.0433736097,43212045.19471187,47379755.281459086,43212045.19471187,Buyers
PRI,Global,105628.77952380407,341185.1540527344,120211.76884362834,103121.31278860249,317141.2594207647,117408.6908758667,9.588918686108412,NA,116.45780417424845,0.2451520779797619,292014.07002154796,-316057.96465351764,267970.1753895783,267970.1753895783,Sellers
REU,Global,260469.8218797342,853823.22412109375,291583.58889674075,201021.86216760095,407088.2545902941,225030.03024140096,2.617329179778923,NA,116.45780417424845,0.2451520779797619,6923178.850714225,-7369913.820245025,6476443.881183426,6476443.881183426,Sellers
MOZ,Global,366655.0903137047,2372048.9711914062,393984.8588344583,381572.9371293052,4905093.191563874,410430.67038685817,233.0034663162551,NA,116.45780417424845,0.2451520779797619,1737299.6831526419,795744.5372198254,4270343.903525109,795744.5372198254,Buyers
GUM,Global,164999.34615027218,1221253.8466796875,203952.15345596682,123749.50961270413,323242.45746242156,152717.55528335832,4.477182238920038,NA,116.45780417424845,0.2451520779797619,4803865.385711858,-5701876.774929124,3905853.996494592,3905853.996494592,Sellers
VEN,Global,260987.98640086624,2648811.503173828,286856.4456425167,304816.28007134475,14816108.616906924,336463.57930804207,536.1701072611003,NA,116.45780417424845,0.2451520779797619,5104146.841568039,7063150.272165057,17271443.955301136,7063150.272165057,Buyers
