iso3,province,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
BLZ,Tropical Northwestern Atlantic,7006.445836806402,4554.187786102295,8818.930115120478,14864.083499581899,796099.0631815568,20569.549426166992,410.447847647882,NA,2.084526615235528,16379.454840932613,775165.4205545218,807924.3302363871,775165.4205545218,Buyers
TON,Central Polynesia,97699.92646690337,36748.25206375122,118454.33945368543,56977.71575102527,2255.2002356479616,71029.30948935226,0.0856315289632314,NA,3.3956960129976776,138280.24856835857,-172773.30039646183,103787.19674025531,103787.19674025531,Sellers
USA,Arctic,120604.80597561976,359129.6753883362,150634.34932858023,506688.9445574527,285553803.60301274,604007.4176536859,1478.8476365461495,NA,11.290697565467813,4359159.243551639,280835514.6840728,289553833.171176,280835514.6840728,Buyers
AUS,Northeast Australian Shelf,57893.105514363524,1532583.7463915541,64526.51570463814,57893.105514363524,1532583.7463915541,64526.51570463814,63.59651860370616,NA,63.59651860370616,0,0,0,0,Doesn't participate
AUS,East Central Australian Shelf,189954.47859353528,15883.309063858933,213213.88810220928,189954.47859353528,15883.309063858933,213213.88810220928,0.13095370563701664,NA,0.13095370563701664,0,0,0,0,Doesn't participate
VGB,Tropical Northwestern Atlantic,44677.95215367781,5850.601016998291,54769.21767991721,31527.567553929362,941.1820058974104,40357.03009472567,0.03959603546627742,NA,2.084526615235528,27412.32669875905,-32321.745709859933,22502.90768765817,22502.90768765817,Sellers
ROU,Black Sea,25390.38372436679,1283437.2085723877,35362.18641721623,12949.095699427065,120848.93844822503,19926.35341897204,27.87665238210126,NA,186.3533883535885,2318476.178930443,-3481064.4490546053,1155887.9088062802,1155887.9088062802,Sellers
COK,Central Polynesia,676440.7465602328,121655.82987213135,834968.2886660869,388380.7831324017,24120.482055585748,481097.8923186135,0.0859861584734999,NA,3.3956960129976776,978164.069316143,-1075699.4171326887,880628.7214995974,880628.7214995974,Sellers
BGR,Black Sea,14430.419285697906,926851.7364311218,22576.97143799043,10572.120796555022,379418.1877095737,18050.57615581332,109.18270567949534,NA,186.3533883535885,719006.9967313077,-1266440.545452856,171573.4480097596,171573.4480097596,Sellers
TTO,Tropical Northwestern Atlantic,26448.11018587064,12816.310317993164,30184.099058182917,23868.150004607785,9603.337425032825,30184.099058182917,1.245357550978804,NA,2.084526615235528,5377.995664090296,-8590.968557050634,2165.0227711299567,2165.0227711299567,Sellers
EGY,Mediterranean Sea,86541.71129868341,1304213.7629852295,111465.22492224272,70609.99334382797,161893.84853973196,90813.75222875588,13.985151102641625,NA,159.05660611923332,2534044.9875481594,-3676364.901993657,1391725.0731026619,1391725.0731026619,Sellers
COK,Southeast Polynesia,663015.3887737939,68337.85743713379,828442.356714639,380342.20379639335,23529.947275213446,477920.2204540267,0.08711405064378698,NA,2.0559354318526935,581157.8166296884,-625965.7267916087,536349.906467768,536349.906467768,Sellers
IDN,Western Coral Triangle,1352240.2781742373,11203095.233558655,1636899.7202378253,1312152.400453554,8477079.161987208,1591017.1487920927,51.64510471049733,NA,87.42087852971946,3504517.488734106,-6230533.560305553,778501.4171626586,778501.4171626586,Sellers
SUR,North Brazil Shelf,77319.33560345013,956714.2884292603,91400.12713630174,54600.626296420734,74381.988200987,63940.2147702397,11.1412485021773,NA,136.39965412785892,3098824.0917101796,-3981156.3919384526,2216491.7914819065,2216491.7914819065,Sellers
AUS,Southeast Australian Shelf,379264.371506716,57150.39128017842,446492.817106465,379264.371506716,57150.39128017842,446492.817106465,0.24475579412740384,NA,0.24475579412740384,0,0,0,0,Doesn't participate
AGO,Gulf of Guinea,148561.301131195,111714.01616668701,160435.87217293412,182745.19090158344,3341308.835426959,199399.2268005289,139.15338792172355,NA,9.552862059811298,326553.98364431516,2903040.835615957,3556148.8029045872,2903040.835615957,Buyers
URY,Warm Temperate Southwestern Atlantic,50655.84490022555,6186903.770913597,52187.56351737346,50655.84490022555,7985266.691215746,62250.30428987451,813.4137465425976,NA,499.1737007920526,0,1798362.920302149,1798362.920302149,1798362.920302149,Buyers
SOM,Somali/Arabian,371156.4584979936,2111632.07711792,406698.1760701997,200308.35430499245,17099.72676615412,220332.53553108094,0.11881190411451656,NA,66.79147102400604,11411196.2007132,-13505728.551064966,9316663.850361435,9316663.850361435,Sellers
COL,Tropical Northwestern Atlantic,271857.8193343448,98692.5736541748,302810.30633704236,176673.42969234058,42313.189075463655,197745.3143638252,0.3429818088435465,NA,2.084526615235528,198414.39356370678,-254793.77814241793,142035.00898499563,142035.00898499563,Sellers
MUS,Central Indian Ocean Islands,438869.77987681865,97017.60892486572,498056.4613356303,285336.7372478189,24544.988695030705,323565.4473783818,0.11966710888912893,NA,2.4510520685388997,376317.48172488087,-448790.1019547159,303844.8614950458,303844.8614950458,Sellers
