iso3,iso3n,ecoregion,eco_code,province,pro_code,realm,rlm_code
BEN,204,Gulf of Guinea Central,20083,Gulf of Guinea,17,Tropical Atlantic,4
CMR,120,Gulf of Guinea Central,20083,Gulf of Guinea,17,Tropical Atlantic,4
GAB,266,Gulf of Guinea Central,20083,Gulf of Guinea,17,Tropical Atlantic,4
GHA,288,Gulf of Guinea Central,20083,Gulf of Guinea,17,Tropical Atlantic,4
GNQ,226,Gulf of Guinea Central,20083,Gulf of Guinea,17,Tropical Atlantic,4
NGA,566,Gulf of Guinea Central,20083,Gulf of Guinea,17,Tropical Atlantic,4
STP,678,Gulf of Guinea Central,20083,Gulf of Guinea,17,Tropical Atlantic,4
TGO,768,Gulf of Guinea Central,20083,Gulf of Guinea,17,Tropical Atlantic,4
GAB,266,Gulf of Guinea Islands,20084,Gulf of Guinea,17,Tropical Atlantic,4
GNQ,226,Gulf of Guinea Islands,20084,Gulf of Guinea,17,Tropical Atlantic,4
STP,678,Gulf of Guinea Islands,20084,Gulf of Guinea,17,Tropical Atlantic,4
AGO,24,Gulf of Guinea South,25085,Gulf of Guinea,17,Tropical Atlantic,4
COD,180,Gulf of Guinea South,25085,Gulf of Guinea,17,Tropical Atlantic,4
COG,178,Gulf of Guinea South,25085,Gulf of Guinea,17,Tropical Atlantic,4
GAB,266,Gulf of Guinea South,25085,Gulf of Guinea,17,Tropical Atlantic,4
GNQ,226,Gulf of Guinea South,25085,Gulf of Guinea,17,Tropical Atlantic,4
CIV,384,Gulf of Guinea Upwelling,20082,Gulf of Guinea,17,Tropical Atlantic,4
GHA,288,Gulf of Guinea Upwelling,20082,Gulf of Guinea,17,Tropical Atlantic,4
LBR,430,Gulf of Guinea Upwelling,20082,Gulf of Guinea,17,Tropical Atlantic,4
CIV,384,Gulf of Guinea West,25081,Gulf of Guinea,17,Tropical Atlantic,4
GIN,324,Gulf of Guinea West,25081,Gulf of Guinea,17,Tropical Atlantic,4
GNB,624,Gulf of Guinea West,25081,Gulf of Guinea,17,Tropical Atlantic,4
LBR,430,Gulf of Guinea West,25081,Gulf of Guinea,17,Tropical Atlantic,4
SEN,686,Gulf of Guinea West,25081,Gulf of Guinea,17,Tropical Atlantic,4
